created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Oct 24 15:13:39 +0000 2023;1,72E+18;"I can't see a war"" between two countries. Israel and Palestine. as some people call it.  What I see is two country destroying its way of living.  its infrastructure. and cowardly killing innocent people from a distance. without any mercy..""";0;0;0;0;en;99350386;1,72E+18;Mcoplin1;https://twitter.com/Mcoplin1/status/1716835350671442293
Tue Oct 24 15:13:39 +0000 2023;1,72E+18;@Forbes Free palestine;0;0;0;0;et;1,62E+18;1,72E+18;larahussein2008;https://twitter.com/larahussein2008/status/1716835350432071868
Tue Oct 24 15:13:39 +0000 2023;1,72E+18;Now I know why hitla cleaned yâ€™all out free Palestine #hamsas #isreal #FreePalaestine;0;0;0;0;en;1,57E+18;1,72E+18;K26606487;https://twitter.com/K26606487/status/1716835348918198752
Tue Oct 24 15:13:39 +0000 2023;1,72E+18;@Adii__here @goddeketal Their going to flatten Palestine pave it over and build a parking lot over all the Palestinian bodies. So you should go stand with Palestine in Palestine.;0;0;0;0;en;1,40E+18;1,72E+18;PettyJeb;https://twitter.com/PettyJeb/status/1716835348783976787
Tue Oct 24 15:13:39 +0000 2023;1,72E+18;@DrLoupis You seemed fine when it was just palestine bombing and invading IsraelðŸ¤·ðŸ»â€â™‚ï¸ completely silent when all that was happeningâ€¦;0;0;0;0;en;1,71E+18;1,72E+18;Etown307;https://twitter.com/Etown307/status/1716835348594962908
Tue Oct 24 15:13:38 +0000 2023;1,72E+18;@RepDonaldsPress Youâ€™re deep state. donâ€™t pretend. Free Palestine;0;0;0;0;en;1,63E+18;1,72E+18;andrewr90143431;https://twitter.com/andrewr90143431/status/1716835348377178453
Tue Oct 24 15:13:38 +0000 2023;1,72E+18;@jacksonhinklle Palestine should burn!;0;0;0;0;en;1,54E+18;1,72E+18;BlastedpullsSb;https://twitter.com/BlastedpullsSb/status/1716835348280447375
Tue Oct 24 15:13:38 +0000 2023;1,72E+18;How it feels retweeting your nugu fav's comeback amidst the Palestine and Israel situation: https://t.co/vgdsIlNFIt;0;0;0;0;en;1,34E+18;1,72E+18;BreadBandith;https://twitter.com/BreadBandith/status/1716835348150690111
Tue Oct 24 15:13:38 +0000 2023;1,72E+18;@MrAndyNgo Maybe we ship them all off to Palestine? Just a suggestion. https://t.co/1bRRVNiwmh;0;0;0;0;en;2909253664;1,72E+18;Gulskjegg;https://twitter.com/Gulskjegg/status/1716835346422362426
Tue Oct 24 15:13:38 +0000 2023;1,72E+18;From the river to the sea. Palestine will be free. ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ https://t.co/yKZ9MbJQo3;0;0;0;0;en;1,02E+18;1,72E+18;Omar_Hesham11;https://twitter.com/Omar_Hesham11/status/1716835346275836306
Tue Oct 24 15:13:38 +0000 2023;1,72E+18;ðŸ‡®ðŸ‡± ISRAÃ‹L | ðŸ‡µðŸ‡¸ PALESTINE ]  ðŸ”¸ Â« Personne ne peut nous entraÃ®ner dans la guerre Ã  moins que lâ€™ennemi israÃ©lien ne nous attaque. et alors nous serons obligÃ©s de nous dÃ©fendre. Â» - Gebran Bassil. PrÃ©sident du Courant patriotique libre. un parti politique alliÃ© du Hezbollah. https://t.co/DdNoXsQZLW;0;0;0;0;fr;1,68E+18;1,72E+18;FranCkFran94668;https://twitter.com/FranCkFran94668/status/1716835345742897627
Tue Oct 24 15:13:38 +0000 2023;1,72E+18;@paddingtonbearX @mediagonebad @caitoz Omg search engine will show you things with both words. that's what search engines do. It doesn't mean Country of Palestine existed or that those articles say that! Only that it has both words in an article and that's clearly going to happen. Learn how internet works!;0;0;0;0;en;1,50E+18;1,72E+18;NickDecoteau4;https://twitter.com/NickDecoteau4/status/1716835345285988692
Tue Oct 24 15:13:37 +0000 2023;1,72E+18;Pulling out a severely-injured girl from under the rubble of a shopping mall bombed by lsraeli warplanes in central Gaza. https://t.co/sWLVSrsomH;0;0;0;0;en;1,69E+18;1,72E+18;helpPalestine__;https://twitter.com/helpPalestine__/status/1716835343406612640
Tue Oct 24 15:13:37 +0000 2023;1,72E+18;I'm still waiting for the DA leader. John Steenhuisen. to post his pictures next to the destroyed buildings in Palestine urging countries to put pressure on peace and end Apartheid and the killing of children by the state of Israel. #PalestineUnderAttack. #palestineðŸ‡¯ðŸ‡´.â€¦ https://t.co/11kMRx0v3e;0;0;0;0;en;1,21E+18;1,72E+18;AfricaisBlack;https://twitter.com/AfricaisBlack/status/1716835342551310844
Tue Oct 24 15:13:37 +0000 2023;1,72E+18;@jjhawktree @Rfc1872I @Sirloum @SkyNews You guys killed 3.000.000 civilians in the past 2 decades just for oilâ€¦ if anyone is evil itâ€™s neither Israel or Palestine! Itâ€™s you;0;0;0;0;en;1,57E+18;1,72E+18;Dum01150587;https://twitter.com/Dum01150587/status/1716835341754405002
Tue Oct 24 15:13:37 +0000 2023;1,72E+18;@piersmorgan @PiersUncensored @Byoussef It was because of @Byoussef  not because of you being super neutral! You have never been neutral nor defended the civilians that were killed in Palestine! YOU need to be canceled Piers Morgan;0;0;0;0;en;114914840;1,72E+18;wanderluster34;https://twitter.com/wanderluster34/status/1716835341251027202
Tue Oct 24 15:13:37 +0000 2023;1,72E+18;ÃœnlÃ¼ oyuncu Jason Statham arabasÄ±na Filistin bayraÄŸÄ± astÄ±.  #JasonStatham #BREAKING  #Palestine https://t.co/51e9aZvvHP;0;0;0;0;tr;1,09E+18;1,72E+18;CanliSonDakika;https://twitter.com/CanliSonDakika/status/1716835341032685768
