full_text,created_at,id_str,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
I can't see a war between two countries. Israel and Palestine. as some people call it.  What I see is two country destroying its way of living.  its infrastructure. and cowardly killing innocent people from a distance. without any mercy..,Tue Oct 24 15:13:39 +0000 2023,1716840000000000000,0,0,0,0,en,99350386,1716840000000000000,Mcoplin1,https://twitter.com/Mcoplin1/status/1716835350671442293
@Forbes Free palestine,Tue Oct 24 15:13:39 +0000 2023,1716840000000000000,0,0,0,0,et,1618920000000000000,1716760000000000000,larahussein2008,https://twitter.com/larahussein2008/status/1716835350432071868
Now I know why hitla cleaned y’all out free Palestine #hamsas #isreal #FreePalaestine,Tue Oct 24 15:13:39 +0000 2023,1716840000000000000,0,0,0,0,en,1570910000000000000,1716840000000000000,K26606487,https://twitter.com/K26606487/status/1716835348918198752
@Adii__here @goddeketal Their going to flatten Palestine pave it over and build a parking lot over all the Palestinian bodies. So you should go stand with Palestine in Palestine.,Tue Oct 24 15:13:39 +0000 2023,1716840000000000000,0,0,0,0,en,1397610000000000000,1716820000000000000,PettyJeb,https://twitter.com/PettyJeb/status/1716835348783976787
@DrLoupis You seemed fine when it was just palestine bombing and invading Israel🤷🏻‍♂️ completely silent when all that was happening…,Tue Oct 24 15:13:39 +0000 2023,1716840000000000000,0,0,0,0,en,1708120000000000000,1716770000000000000,Etown307,https://twitter.com/Etown307/status/1716835348594962908
@RepDonaldsPress You’re deep state. don’t pretend. Free Palestine,Tue Oct 24 15:13:38 +0000 2023,1716840000000000000,0,0,0,0,en,1630160000000000000,1716580000000000000,andrewr90143431,https://twitter.com/andrewr90143431/status/1716835348377178453
@jacksonhinklle Palestine should burn!,Tue Oct 24 15:13:38 +0000 2023,1716840000000000000,0,0,0,0,en,1544800000000000000,1716600000000000000,BlastedpullsSb,https://twitter.com/BlastedpullsSb/status/1716835348280447375
How it feels retweeting your nugu fav's comeback amidst the Palestine and Israel situation: https://t.co/vgdsIlNFIt,Tue Oct 24 15:13:38 +0000 2023,1716840000000000000,0,0,0,0,en,1337360000000000000,1716840000000000000,BreadBandith,https://twitter.com/BreadBandith/status/1716835348150690111
@MrAndyNgo Maybe we ship them all off to Palestine? Just a suggestion. https://t.co/1bRRVNiwmh,Tue Oct 24 15:13:38 +0000 2023,1716840000000000000,0,0,0,0,en,2909253664,1716670000000000000,Gulskjegg,https://twitter.com/Gulskjegg/status/1716835346422362426
From the river to the sea. Palestine will be free. 🇵🇸🇵🇸🇵🇸 https://t.co/yKZ9MbJQo3,Tue Oct 24 15:13:38 +0000 2023,1716840000000000000,0,0,0,0,en,1017520000000000000,1716840000000000000,Omar_Hesham11,https://twitter.com/Omar_Hesham11/status/1716835346275836306
🇮🇱 ISRAËL | 🇵🇸 PALESTINE ]  🔸 « Personne ne peut nous entraîner dans la guerre à moins que l’ennemi israélien ne nous attaque. et alors nous serons obligés de nous défendre. » - Gebran Bassil. Président du Courant patriotique libre. un parti politique allié du Hezbollah. https://t.co/DdNoXsQZLW,Tue Oct 24 15:13:38 +0000 2023,1716840000000000000,0,0,0,0,fr,1683570000000000000,1716840000000000000,FranCkFran94668,https://twitter.com/FranCkFran94668/status/1716835345742897627
@paddingtonbearX @mediagonebad @caitoz Omg search engine will show you things with both words. that's what search engines do. It doesn't mean Country of Palestine existed or that those articles say that! Only that it has both words in an article and that's clearly going to happen. Learn how internet works!,Tue Oct 24 15:13:38 +0000 2023,1716840000000000000,0,0,0,0,en,1496900000000000000,1716250000000000000,NickDecoteau4,https://twitter.com/NickDecoteau4/status/1716835345285988692
Pulling out a severely-injured girl from under the rubble of a shopping mall bombed by lsraeli warplanes in central Gaza. https://t.co/sWLVSrsomH,Tue Oct 24 15:13:37 +0000 2023,1716840000000000000,0,0,0,0,en,1693690000000000000,1716840000000000000,helpPalestine__,https://twitter.com/helpPalestine__/status/1716835343406612640
I'm still waiting for the DA leader. John Steenhuisen. to post his pictures next to the destroyed buildings in Palestine urging countries to put pressure on peace and end Apartheid and the killing of children by the state of Israel. #PalestineUnderAttack. #palestine🇯🇴.… https://t.co/11kMRx0v3e,Tue Oct 24 15:13:37 +0000 2023,1716840000000000000,0,0,0,0,en,1214870000000000000,1716840000000000000,AfricaisBlack,https://twitter.com/AfricaisBlack/status/1716835342551310844
@jjhawktree @Rfc1872I @Sirloum @SkyNews You guys killed 3.000.000 civilians in the past 2 decades just for oil… if anyone is evil it’s neither Israel or Palestine! It’s you,Tue Oct 24 15:13:37 +0000 2023,1716840000000000000,0,0,0,0,en,1566520000000000000,1716750000000000000,Dum01150587,https://twitter.com/Dum01150587/status/1716835341754405002
@piersmorgan @PiersUncensored @Byoussef It was because of @Byoussef  not because of you being super neutral! You have never been neutral nor defended the civilians that were killed in Palestine! YOU need to be canceled Piers Morgan,Tue Oct 24 15:13:37 +0000 2023,1716840000000000000,0,0,0,0,en,114914840,1716750000000000000,wanderluster34,https://twitter.com/wanderluster34/status/1716835341251027202
Ünlü oyuncu Jason Statham arabasına Filistin bayrağı astı.  #JasonStatham #BREAKING  #Palestine https://t.co/51e9aZvvHP,Tue Oct 24 15:13:37 +0000 2023,1716840000000000000,0,0,0,0,tr,1087080000000000000,1716840000000000000,CanliSonDakika,https://twitter.com/CanliSonDakika/status/1716835341032685768
@SBWorkersUnited I stand with Palestine 🇵🇸 @Starbucks  #GenocideSupporters,Tue Oct 24 15:13:36 +0000 2023,1716840000000000000,0,0,0,0,en,1652157577,1715420000000000000,omererat,https://twitter.com/omererat/status/1716835338935832816
@thetwilightsown @PendantCody @JStein_WaPo The graph actually makes Bernie look better lmao $0 of this money came from PACs,Tue Oct 24 15:13:36 +0000 2023,1716840000000000000,0,0,0,0,en,3410883075,1716510000000000000,WithNoE,https://twitter.com/WithNoE/status/1716835338935582858
امام شافعی فرماتے ہیں قرآن مجید میں ایک ایسی ایت بھی ہے جو ظالم کے دل میں تیر اور مظلوم کے دل پر رکھا ہوا مرہم ہے وہ کونسی؟  وَمَا كَانَ رَبُّكَ نَسِيًّا  *اور تیرا پروردگار بھولنے والا نہیں* (سورہ مریم)  *O my beloved oppressed brothers and sisters 🥹...  #Palestine,Tue Oct 24 15:13:36 +0000 2023,1716840000000000000,0,0,0,0,ur,1429760000000000000,1716840000000000000,AzharAb07,https://twitter.com/AzharAb07/status/1716835338889695727
@AlexJor03960175 I don't know how to tell you this. Alex. but even the beach is being shelled in Gaza. and it's not something new. Massacres have occurred on the Gaza beach over the past twenty years due to Israeli airstrikes.,Tue Oct 24 15:13:36 +0000 2023,1716840000000000000,0,0,0,0,en,1711750000000000000,1716180000000000000,PalestineTrs,https://twitter.com/PalestineTrs/status/1716835336360247673
@Whiskyfett2 @MartinDaubney I have no concept of a human being condoning what Hamas/Palestine did.,Tue Oct 24 15:13:35 +0000 2023,1716840000000000000,0,0,0,0,en,1362040000000000000,1716820000000000000,TonyWil37771834,https://twitter.com/TonyWil37771834/status/1716835335743893949
guys go follow my (soon to be) private account @Valmixx_pt2 cuz like i need more than one IM STARTING TO GET SUSSED 😭😭😭 :p,Tue Oct 24 15:13:35 +0000 2023,1716840000000000000,0,0,0,0,en,1543260000000000000,1716840000000000000,Valmixx_,https://twitter.com/Valmixx_/status/1716835334733156513
@bleepbloop8136 @wateryummy57 wait where did this all stem from ??,Tue Oct 24 15:13:35 +0000 2023,1716840000000000000,0,0,0,0,en,1698370000000000000,1716710000000000000,josabelsgf,https://twitter.com/josabelsgf/status/1716835334690853103
“So scary hamas🥺🥺 help us🥺🥺🥺  🤮”  #Thalapathy68 #Gaza #Hamas  #VisitIsrael #AlQassam,Tue Oct 24 15:13:35 +0000 2023,1716840000000000000,0,0,0,0,en,2875000404,1716840000000000000,meerastew99,https://twitter.com/meerastew99/status/1716835334288552158
@verymsandrist No sense just clinkity clankity. So from me saying he showed kindness by seeing that she was uncomfortable and HELPING her means i says she should have stayed under the rubble🤣🤣🤣 yet YOU who saw FOUR men helping dig her out the rubble and said ‘OPPRESSORS’ ok darling.,Tue Oct 24 15:13:35 +0000 2023,1716840000000000000,0,0,0,0,en,1145240000000000000,1716540000000000000,we_ouchea,https://twitter.com/we_ouchea/status/1716835333768446223
@RishiSunak You are killing innocent children and women in Palestine,Tue Oct 24 15:13:35 +0000 2023,1716840000000000000,0,0,0,0,en,1645370000000000000,1716520000000000000,HosainShah5217,https://twitter.com/HosainShah5217/status/1716835333466407271
@netanyahu This M0nkey is War Criminal in Palestine. The Whole World very  curses you Netanyahu 💩💩💩💩💩💩💩💩💩💩 https://t.co/PBbNMCVk3O,Tue Oct 24 15:13:35 +0000 2023,1716840000000000000,0,0,0,0,en,586968625,1716070000000000000,fajar_andro99,https://twitter.com/fajar_andro99/status/1716835333307093420
@IranObserver0 Israel will vanish from the map of the world if they will not stop their terrorism in Palestine,Tue Oct 24 15:13:35 +0000 2023,1716840000000000000,0,0,0,0,en,1596140000000000000,1716760000000000000,fazila_urooj,https://twitter.com/fazila_urooj/status/1716835332036166098
@fakhrifadzli Palestine will be free !!! 🇵🇸🇵🇸🇵🇸,Tue Oct 24 15:13:35 +0000 2023,1716840000000000000,0,0,0,0,en,1161280000000000000,1716440000000000000,daqwueen,https://twitter.com/daqwueen/status/1716835332032024589
Scottish Labour's @AnasSarwar called for a peace process and a two state solution that offers peace. freedom and security to the people of Israel and peace. freedom and security to the people of Palestine.  It may feel so far away but I still believe in the cause of peace. https://t.co/YIzlCYdq46,Tue Oct 24 15:13:34 +0000 2023,1716840000000000000,0,0,0,0,en,89151961,1716840000000000000,HolyroodDaily,https://twitter.com/HolyroodDaily/status/1716835329875825088
@POTUS Hamas are NOT terrorists. They did not overthrow any government using violence. they did not blow up any buildings. LEARN US LAW before you talk. Israel overthrew Palestine's government using violence. Israel blows up buildings. ISRAEL ARE THE TERRORISTS. WAKE UP,Tue Oct 24 15:13:34 +0000 2023,1716840000000000000,0,0,0,0,en,109557832,1716810000000000000,Mike_Sacramento,https://twitter.com/Mike_Sacramento/status/1716835329662144573
@caitoz The only solution is for the Europeans that came to Palestine 🇵🇸 for refuge Bcos of Hitler’s war to return to Europe where they came from. case closed. The Palestinians will be able once again live in peace. And the illegal settlers will resettle peacefully in Europe and US.,Tue Oct 24 15:13:33 +0000 2023,1716840000000000000,0,0,0,0,en,1536430000000000000,1716600000000000000,MotunwadeStore,https://twitter.com/MotunwadeStore/status/1716835325673361481
@lisanandy So how many more days/weeks are you going to allow this genocide while mouthing pitiful platitudes from the sidelines and egging on the wanton brutality?  Immediate ceasefire. End the siege. Investigate war crimes. Recognise Palestine &amp  Palestinian rights.,Tue Oct 24 15:13:33 +0000 2023,1716840000000000000,0,0,0,0,en,779795000000000000,1716800000000000000,Hiding2nowt,https://twitter.com/Hiding2nowt/status/1716835325493002741
@MrAndyNgo Send her to Palestine and see how that works outs,Tue Oct 24 15:13:33 +0000 2023,1716840000000000000,0,0,0,0,en,1640530000000000000,1716490000000000000,HunterBidensD,https://twitter.com/HunterBidensD/status/1716835324893286540
@Byoussef @piersmorgan On the same bases. why the Israelis stay in Palestine? They to told you to leave 😎😎😎😎,Tue Oct 24 15:13:32 +0000 2023,1716840000000000000,0,0,0,0,en,248082375,1716620000000000000,makkawee1,https://twitter.com/makkawee1/status/1716835322892628276
@giladts_ @2605stevep @SalomonSoup Funny if you do a little research you’ll see a coin with Palestine on it. You didn’t have an America You didn’t have an Australia You didn’t have an Israel till May 1948  Whats your point,Tue Oct 24 15:13:32 +0000 2023,1716840000000000000,0,0,0,1,en,711048076,1715730000000000000,BonnickMark,https://twitter.com/BonnickMark/status/1716835322741567812
@stats_feed Ye Palestine wale police hai ya aatakbaadi?,Tue Oct 24 15:13:32 +0000 2023,1716840000000000000,0,0,0,0,hi,1693340000000000000,1716830000000000000,raj_sharma25962,https://twitter.com/raj_sharma25962/status/1716835322284425271
@FoxNews Israel make a parking lot out of Palestine,Tue Oct 24 15:13:32 +0000 2023,1716840000000000000,0,0,0,0,en,1588020000000000000,1716800000000000000,RonaldKellar4,https://twitter.com/RonaldKellar4/status/1716835321642676274
@ExpressNewsPK This Hypocrite Man has Supplied Arms. Ammunition . Mortars to Ukraine. This is called the support that a country needs.  Meanwhile. This American European Slave Will Just Issue Cowardly Verbal Statements for Palestine. #Gaza_Genocide,Tue Oct 24 15:13:31 +0000 2023,1716840000000000000,0,0,0,0,en,1075490000000000000,1716780000000000000,D_Coder901,https://twitter.com/D_Coder901/status/1716835319088353681
@day_walker110 America and NATO failed in Ukraine now they come Palestine. what they need?know themselves,Tue Oct 24 15:13:31 +0000 2023,1716840000000000000,0,0,0,0,en,902920000000000000,1716780000000000000,AkidaAwal,https://twitter.com/AkidaAwal/status/1716835317825860010
@KimIversenShow It’s not Israel vs Palestine.   It’s Israel va Hamas.   The fact that the “pro-Palestine” side keeps conflating Hamas/Palestine is telling.,Tue Oct 24 15:13:31 +0000 2023,1716840000000000000,0,0,0,0,en,936062010,1716830000000000000,thejjalvarez,https://twitter.com/thejjalvarez/status/1716835317037277429
Francine Miller of South Royalton Vt. cites “the illegal occupation of Palestine by Israel” as “the root cause of this conflict.” She thus makes clear that the root cause is in fact the refusal by the Arabs since 1947 to accept the Jewish state. https://t.co/rRZ85xW7na,Tue Oct 24 15:13:31 +0000 2023,1716840000000000000,0,0,0,0,en,317854576,1716840000000000000,ElRucioDos,https://twitter.com/ElRucioDos/status/1716835316429189575
@zisankocyigit @TreyYingst Oh I get it only Israel has to follow rules but Palestinians can do whatever they want??? See that’s kinda how they got to be such a poor and pathetic land. If anyone believed what you said all Arab countries would come to the aid of Palestine a long long time ago.,Tue Oct 24 15:13:31 +0000 2023,1716840000000000000,0,0,0,0,en,1501620000000000000,1716800000000000000,MsCreepyLee,https://twitter.com/MsCreepyLee/status/1716835316240125974
ANC KZN calls for Woolworths boycott. as it prepares for protest in support of Palestine  The @MYANC don't have the competence to keep eThekwini solvent but at least they have enough competency in boycotting  and destruction.   https://t.co/kY2PFZEmGs  https://t.co/SEp7w4Z9iZ,Tue Oct 24 15:13:30 +0000 2023,1716840000000000000,0,0,0,0,en,1438780000000000000,1716840000000000000,Tiaan35009125,https://twitter.com/Tiaan35009125/status/1716835314210058428
@MattWalshBlog Taken by me at a pro Palestine March in Indianapolis. Mostly Arabs. no violence. no one was anti white or anti west. and no provoking the other side. After the protest. the Muslims made du’a for Palestine and we all left peacefully. Nothing like the BLM protests https://t.co/OoNAY0IhPs,Tue Oct 24 15:13:29 +0000 2023,1716840000000000000,0,0,0,0,en,1224930000000000000,1716810000000000000,tristan_j3,https://twitter.com/tristan_j3/status/1716835309873447407
@jahan_arabegum @urnu_b go nd drink cow piss lundians🔥🔥,Tue Oct 24 15:13:29 +0000 2023,1716840000000000000,0,0,0,0,en,1670210000000000000,1716570000000000000,ChilliNameless,https://twitter.com/ChilliNameless/status/1716835308589945063
@iuseittocomment @RabiaMominn @MichaelAArouet @visegrad24 Palestinians existed as they were simply the nomads living on these lands. plus this name being created would've made the Palestinian identity. Though this is mostly to counter the whole idea that a Palestine didn't exist. which is indeed false.,Tue Oct 24 15:13:28 +0000 2023,1716840000000000000,0,0,0,0,en,1309120000000000000,1716200000000000000,Endleirie,https://twitter.com/Endleirie/status/1716835306014736557
@gatewaypundit Because “civilians” in Palestine support find house feed and supply Hamas.,Tue Oct 24 15:13:28 +0000 2023,1716840000000000000,0,0,0,0,en,1686000000000000000,1716830000000000000,Justa18874,https://twitter.com/Justa18874/status/1716835304886153580
@Youridefou on s'en fou réellement des gens meurt en palestine,Tue Oct 24 15:13:28 +0000 2023,1716840000000000000,0,0,0,0,fr,1541410000000000000,1716780000000000000,iris_Jas_,https://twitter.com/iris_Jas_/status/1716835304366022712
