id,username,full_text,created_at,tweet_url
0,Mcoplin1,I can't see a war between two countries. Israel and Palestine. as some people call it.  What I see is two country destroying its way of living.  its infrastructure. and cowardly killing innocent people from a distance. without any mercy..,Tue Oct 24 15:13:39 +0000 2023,https://twitter.com/Mcoplin1/status/1716835350671442293
4,Etown307,@DrLoupis You seemed fine when it was just palestine bombing and invading Israel🤷🏻‍♂️ completely silent when all that was happening…,Tue Oct 24 15:13:39 +0000 2023,https://twitter.com/Etown307/status/1716835348594962908
7,BreadBandith,How it feels retweeting your nugu fav's comeback amidst the Palestine and Israel situation: https://t.co/vgdsIlNFIt,Tue Oct 24 15:13:38 +0000 2023,https://twitter.com/BreadBandith/status/1716835348150690111
13,AfricaisBlack,I'm still waiting for the DA leader. John Steenhuisen. to post his pictures next to the destroyed buildings in Palestine urging countries to put pressure on peace and end Apartheid and the killing of children by the state of Israel. #PalestineUnderAttack. #palestine🇯🇴.… https://t.co/11kMRx0v3e,Tue Oct 24 15:13:37 +0000 2023,https://twitter.com/AfricaisBlack/status/1716835342551310844
14,Dum01150587,@jjhawktree @Rfc1872I @Sirloum @SkyNews You guys killed 3.000.000 civilians in the past 2 decades just for oil… if anyone is evil it’s neither Israel or Palestine! It’s you,Tue Oct 24 15:13:37 +0000 2023,https://twitter.com/Dum01150587/status/1716835341754405002
20,PalestineTrs,@AlexJor03960175 I don't know how to tell you this. Alex. but even the beach is being shelled in Gaza. and it's not something new. Massacres have occurred on the Gaza beach over the past twenty years due to Israeli airstrikes.,Tue Oct 24 15:13:36 +0000 2023,https://twitter.com/PalestineTrs/status/1716835336360247673
21,TonyWil37771834,@Whiskyfett2 @MartinDaubney I have no concept of a human being condoning what Hamas/Palestine did.,Tue Oct 24 15:13:35 +0000 2023,https://twitter.com/TonyWil37771834/status/1716835335743893949
24,meerastew99,“So scary hamas🥺🥺 help us🥺🥺🥺  🤮”  #Thalapathy68 #Gaza #Hamas  #VisitIsrael #AlQassam,Tue Oct 24 15:13:35 +0000 2023,https://twitter.com/meerastew99/status/1716835334288552158
26,HosainShah5217,@RishiSunak You are killing innocent children and women in Palestine,Tue Oct 24 15:13:35 +0000 2023,https://twitter.com/HosainShah5217/status/1716835333466407271
28,fazila_urooj,@IranObserver0 Israel will vanish from the map of the world if they will not stop their terrorism in Palestine,Tue Oct 24 15:13:35 +0000 2023,https://twitter.com/fazila_urooj/status/1716835332036166098
30,HolyroodDaily,Scottish Labour's @AnasSarwar called for a peace process and a two state solution that offers peace. freedom and security to the people of Israel and peace. freedom and security to the people of Palestine.  It may feel so far away but I still believe in the cause of peace. https://t.co/YIzlCYdq46,Tue Oct 24 15:13:34 +0000 2023,https://twitter.com/HolyroodDaily/status/1716835329875825088
31,Mike_Sacramento,@POTUS Hamas are NOT terrorists. They did not overthrow any government using violence. they did not blow up any buildings. LEARN US LAW before you talk. Israel overthrew Palestine's government using violence. Israel blows up buildings. ISRAEL ARE THE TERRORISTS. WAKE UP,Tue Oct 24 15:13:34 +0000 2023,https://twitter.com/Mike_Sacramento/status/1716835329662144573
32,MotunwadeStore,@caitoz The only solution is for the Europeans that came to Palestine 🇵🇸 for refuge Bcos of Hitler’s war to return to Europe where they came from. case closed. The Palestinians will be able once again live in peace. And the illegal settlers will resettle peacefully in Europe and US.,Tue Oct 24 15:13:33 +0000 2023,https://twitter.com/MotunwadeStore/status/1716835325673361481
33,Hiding2nowt,@lisanandy So how many more days/weeks are you going to allow this genocide while mouthing pitiful platitudes from the sidelines and egging on the wanton brutality?  Immediate ceasefire. End the siege. Investigate war crimes. Recognise Palestine &amp  Palestinian rights.,Tue Oct 24 15:13:33 +0000 2023,https://twitter.com/Hiding2nowt/status/1716835325493002741
36,BonnickMark,@giladts_ @2605stevep @SalomonSoup Funny if you do a little research you’ll see a coin with Palestine on it. You didn’t have an America You didn’t have an Australia You didn’t have an Israel till May 1948  Whats your point,Tue Oct 24 15:13:32 +0000 2023,https://twitter.com/BonnickMark/status/1716835322741567812
38,RonaldKellar4,@FoxNews Israel make a parking lot out of Palestine,Tue Oct 24 15:13:32 +0000 2023,https://twitter.com/RonaldKellar4/status/1716835321642676274
41,thejjalvarez,@KimIversenShow It’s not Israel vs Palestine.   It’s Israel va Hamas.   The fact that the “pro-Palestine” side keeps conflating Hamas/Palestine is telling.,Tue Oct 24 15:13:31 +0000 2023,https://twitter.com/thejjalvarez/status/1716835317037277429
42,ElRucioDos,Francine Miller of South Royalton Vt. cites “the illegal occupation of Palestine by Israel” as “the root cause of this conflict.” She thus makes clear that the root cause is in fact the refusal by the Arabs since 1947 to accept the Jewish state. https://t.co/rRZ85xW7na,Tue Oct 24 15:13:31 +0000 2023,https://twitter.com/ElRucioDos/status/1716835316429189575
43,MsCreepyLee,@zisankocyigit @TreyYingst Oh I get it only Israel has to follow rules but Palestinians can do whatever they want??? See that’s kinda how they got to be such a poor and pathetic land. If anyone believed what you said all Arab countries would come to the aid of Palestine a long long time ago.,Tue Oct 24 15:13:31 +0000 2023,https://twitter.com/MsCreepyLee/status/1716835316240125974
48,Justa18874,@gatewaypundit Because “civilians” in Palestine support find house feed and supply Hamas.,Tue Oct 24 15:13:28 +0000 2023,https://twitter.com/Justa18874/status/1716835304886153580
50,hun_trader,@Timcast No coverage of ethnic cleansing in Nagorno-Karabakh.  Why not!?  Because the media doesn't want us to focus on anything but the Israel/Palestine conflict. so don't pay any attention to the man under that curtain (Wizard of Oz reference)! https://t.co/Pi95nl3Ri9,Tue Oct 24 15:13:28 +0000 2023,https://twitter.com/hun_trader/status/1716835302830952486
60,JimMichie2,@giladerdan1 Gilad Erdan. Zionist Israel's continued flagrant omission &amp  denial of terrorism. racism. genicide. ethnic cleansing. land theft. brutal illegal military occupation of Palestine's Gaza. West Bank. East Jerusalem. Zionism  is not Judaism. Zionism employs Nazi pogroms in Palestine!,Tue Oct 24 15:13:25 +0000 2023,https://twitter.com/JimMichie2/status/1716835293687685150
62,PaulCadden1,@DouglasKMurray @SuellaBraverman @RobertJenrick I'm sorry I much have missed him saying anything about Hamas? Supporting Palestine and preparing to fight the enemy is fine as Israel has certainly made themselves the enemy for those people. You're sounding rather a tad racist there @DouglasKMurray,Tue Oct 24 15:13:25 +0000 2023,https://twitter.com/PaulCadden1/status/1716835290642542952
63,HosainShah5217,@JoeBiden You are killing innocent children and women in Palestine,Tue Oct 24 15:13:24 +0000 2023,https://twitter.com/HosainShah5217/status/1716835287643619630
65,arabnews,@antonioguterres @UN #LIVE: #Israel's Eli Cohen at #UNSC - We call for the immediate and unconditional release of all #Hamas hostages #Palestine #Gaza https://t.co/IflBrUiNrU https://t.co/PzEWmbdrn6,Tue Oct 24 15:13:23 +0000 2023,https://twitter.com/arabnews/status/1716835284338254272
67,ahfirncw,@vegilasagna If you are meaning Hamas  ..the violent arm of the Muslim brotherhood who in 2007 overthrew the murdered 200+ Palestine Government national army and took control of Gaza and is supported by Russia ...... Why would we do that? Hamas is Russia and has held Gaza hostage since 2007,Tue Oct 24 15:13:23 +0000 2023,https://twitter.com/ahfirncw/status/1716835281624850477
68,sathiyamnews,#SathiyamExclusive | காஸாவில் இதுவே கடைசி ஆட்டம்... இரவோடு இரவாக தரைவழியே நுழைந்த இஸ்ரேல்! அடுத்து காத்திருக்கும் அதிர்ச்சி  Watch &gt  https://t.co/vZJw1xzZVv  #Gaza | #IsraelPalestineConflict | #Israel | #Palestine |  #INDIA | #SatiyamNews,Tue Oct 24 15:13:23 +0000 2023,https://twitter.com/sathiyamnews/status/1716835281482174478
73,peteralipman,3 Key Insights for Building a Powerful and Loving Movement Against Oppression in Palestine-Israel https://t.co/agj9MJJc8I,Tue Oct 24 15:13:20 +0000 2023,https://twitter.com/peteralipman/status/1716835269628797149
74,mingistarz,To reiterate I dont think we should do any donation collections for this comeback considering the situation in Palestine. I don't think it's right to be spending thousands of dollars to do ok on the charts while people are dying and suffering from the lack of nesscities,Tue Oct 24 15:13:19 +0000 2023,https://twitter.com/mingistarz/status/1716835264688230817
76,ibrooart,Israel is murdering Palestinians in the West Bank where there is NO HAMAS,Tue Oct 24 15:13:18 +0000 2023,https://twitter.com/ibrooart/status/1716835262242889944
78,MRrEXxXE,@Sun_in_Water @visegrad24 Show me a map before 1947 in which the land is named Israel and not Palestine or Palestina.,Tue Oct 24 15:13:18 +0000 2023,https://twitter.com/MRrEXxXE/status/1716835261580275916
80,CluckAbout,#israel #palestine https://t.co/CqIT0DJ0NL,Tue Oct 24 15:13:17 +0000 2023,https://twitter.com/CluckAbout/status/1716835259634127155
82,hoss_mahmoud,@GalGadot Tell your people to get out of Palestine and return the stolen Palestinian land. well actually it is a matter of time till the end of your fake state. it is doomed to end,Tue Oct 24 15:13:17 +0000 2023,https://twitter.com/hoss_mahmoud/status/1716835257021063289
85,TheFitzburgh,@jacksonhinklle You've had years to try and change things in Palestine. Why wait until after their terrorist rulers attacked innocent people in Israel??? Did Hamas send warnings before they attacked?? No!! They committed atrocities!!! Don't start none. there won't be none is a saying in the US…,Tue Oct 24 15:13:15 +0000 2023,https://twitter.com/TheFitzburgh/status/1716835251173937275
90,vinni_correa,@David_Fohrer Be human. stand with Israel  Israel being human with a Palestine 3 years old child https://t.co/NEaIBpMVrs,Tue Oct 24 15:13:12 +0000 2023,https://twitter.com/vinni_correa/status/1716835238264070560
